endTime,artistName,trackName,msPlayed
2019-11-07 23:37,Beyoncé,Mi Gente - Homecoming Live,85265
2019-11-08 01:25,The Joe Budden Podcast with Rory & Mal..,"Episode 295 | ""Who Shot Ya?""",3438592
2019-11-08 04:18,The Joe Budden Podcast with Rory & Mal..,"Episode 295 | ""Who Shot Ya?""",2843520
2019-11-08 04:20,Gucci Mane,Big Boy Diamonds (feat. Kodak Black & London on Da Track),55189
2019-11-08 04:21,YoungBoy Never Broke Again,Make No Sense,20970
2019-11-08 04:24,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,35626
2019-11-08 04:25,YoungBoy Never Broke Again,Make No Sense,64597
2019-11-08 14:35,The Joe Budden Podcast with Rory & Mal..,"Episode 281 | ""Danny Dimes""",430421
2019-11-08 14:35,True Crime Girl Time,LIVE from PodX with guest Gillian Pensavalle!,2275
2019-11-08 15:03,The Joe Budden Podcast with Rory & Mal..,"Episode 281 | ""Danny Dimes""",697760
2019-11-08 15:03,True Crime Girl Time,LIVE from PodX with guest Gillian Pensavalle!,743
2019-11-08 15:04,The Joe Budden Podcast with Rory & Mal..,"Episode 281 | ""Danny Dimes""",41401
2019-11-08 15:10,True Crime Obsessed,108: Screwball,378044
2019-11-08 15:28,Beyoncé,Mi Gente - Homecoming Live,181411
2019-11-08 15:30,Beyoncé,Baby Boy - Homecoming Live,92162
2019-11-08 15:31,Beyoncé,"You Don't Love Me (No, No, No) - Homecoming Live",71916
2019-11-08 15:32,Beyoncé,Hold Up - Homecoming Live,46475
2019-11-08 15:33,Beyoncé,Countdown - Homecoming Live,103235
2019-11-08 15:35,Beyoncé,Check On It - Homecoming Live,76214
2019-11-08 15:38,Beyoncé,Deja Vu (feat. Jay-Z) - Homecoming Live,210944
2019-11-08 15:41,Beyoncé,The Bzzzz Drumline - Interlude - Homecoming Live,190104
2019-11-08 15:45,Beyoncé,Run the World (Girls) - Homecoming Live,233376
2019-11-08 15:47,Beyoncé,Lose My Breath (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,90815
2019-11-08 15:49,Beyoncé,Say My Name (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,111769
2019-11-08 15:51,Beyoncé,Soldier (feat. Kelly Rowland & Michelle Williams) - Homecoming Live,131185
2019-11-08 22:13,Beyoncé,Get Me Bodied - Homecoming Live,12473
2019-11-09 20:51,True Crime Obsessed,108: Screwball,2907049
2019-11-09 21:07,True Crime Obsessed,108: Screwball,898389
2019-11-09 21:24,The Joe Budden Podcast with Rory & Mal..,"Episode 281 | ""Danny Dimes""",689621
2019-11-10 01:28,The Joe Budden Podcast with Rory & Mal..,"Episode 296 | ""The Moral Ground""",662613
2019-11-10 18:13,The Joe Budden Podcast with Rory & Mal..,"Episode 296 | ""The Moral Ground""",5340032
2019-11-10 18:21,Bely Basarte,(I Can't Help) Falling In Love With You - Can't Help Falling In Love,30442
2019-11-10 18:22,葛蘭,我要你的愛,49045
2019-11-10 18:23,Jasmine Chen,Wo Yao Ni De Ai (I Want Your Love - I Want You To Be My Baby),31146
2019-11-10 18:27,Kina Grannis,Can't Help Falling In Love,201933
2019-11-10 18:27,Cheryl K,Money (That's What I Want),2985
2019-11-10 19:47,Raise Your Hand Say Yes with Tiffany Han,Ep. 125: Patrick Hinds on Taking Risks,8640
2019-11-10 19:47,The Joe Budden Podcast with Rory & Mal..,"Episode 296 | ""The Moral Ground""",4672312
2019-11-10 20:38,Raise Your Hand Say Yes with Tiffany Han,Ep. 125: Patrick Hinds on Taking Risks,14582
2019-11-11 11:25,YoungBoy Never Broke Again,Make No Sense,7253
2019-11-11 11:25,Quality Control,Big Rocks (Offset feat. Young Thug),144000
2019-11-11 11:25,J. Cole,MIDDLE CHILD,2060
2019-11-11 11:25,Haiti Babii,Change Ya Life,511
2019-11-11 11:25,Haiti Babii,Change Ya Life,4352
2019-11-11 11:27,YoungBoy Never Broke Again,Make No Sense,148629
2019-11-11 11:34,Chance the Rapper,I Might Need Security,240640
2019-11-11 11:36,Gunna,Who You Foolin,151539
2019-11-11 11:37,K CAMP,Comfortable,1258
2019-11-11 11:37,Quando Rondo,New Ones (feat. NoCap),3669
2019-11-11 11:37,Mustard,Pure Water (with Migos),13082
2019-11-11 11:37,Khalid,Motion,1365
2019-11-11 11:37,Roc Marciano,Power,682
2019-11-11 11:41,Rich The Kid,Lost It (feat. Quavo & Offset),272152
2019-11-11 11:44,Dreamville,"Ladies, Ladies, Ladies (with JID feat. T.I.)",21266
2019-11-11 11:44,NLE Choppa,Camelot,148759
2019-11-11 11:46,Childish Gambino,Terrified,124181
2019-11-11 11:50,J. Cole,The Cut Off (feat. kiLL edward),225151
2019-11-11 11:52,UMI,Midnight Blues,147304
2019-11-11 11:56,Gunna,Derek Fisher (feat. Lil Baby),189443
2019-11-11 11:58,Ari Lennox,BMO,146914
2019-11-11 11:59,Quality Control,Fu*k Dat Ni**a,40192
2019-11-11 12:03,Cordae,Bad Idea (feat. Chance the Rapper),234614
2019-11-11 12:05,Tyla Yaweh,I Think I Luv Her (feat. YG),160742
2019-11-11 12:09,Rich The Kid,Splashin,3989
2019-11-11 12:09,Eye on Eyez,Polar Bear,18537
2019-11-11 12:09,Drake,Money In The Grave (Drake ft. Rick Ross),205426
2019-11-11 12:12,Quality Control,Stripper Bowl,202072
2019-11-11 12:15,Lil Yachty,Get Dripped (feat. Playboi Carti),158769
2019-11-11 13:38,Quality Control,Big Rocks (Offset feat. Young Thug),144000
2019-11-11 14:28,J. Cole,MIDDLE CHILD,23058
2019-11-11 14:28,Haiti Babii,Change Ya Life,352
2019-11-11 15:43,Gunna,Who You Foolin,43399
2019-11-11 16:14,Gunna,Who You Foolin,152382
2019-11-11 16:15,Sonder,Care,40525
2019-11-11 16:15,Dreamville,"Ladies, Ladies, Ladies (with JID feat. T.I.)",991
2019-11-11 16:17,Quando Rondo,New Ones (feat. NoCap),1216
2019-11-11 16:17,Ari Lennox,BMO,1109
2019-11-11 16:17,Cordae,Bad Idea (feat. Chance the Rapper),140586
2019-11-11 16:17,Rich The Kid,New Freezer (feat. Kendrick Lamar),991
2019-11-11 16:17,Chance the Rapper,All We Got (feat. Kanye West & Chicago Children's Choir),832
